"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","524","discoveryShouldReturnDspParams_BpnAsIdentifier()","","2026-09-07","passed","2026-09-07","","org.eclipse.tractusx.edc.discovery.e2e.ConnectorDiscoveryTest","org.eclipse.tractusx.edc.discovery.e2e.ConnectorDiscoveryTest","discoveryShouldReturnDspParams_BpnAsIdentifier"
"","2792","Verify that the consumer receives only the offers he is permitted to (using the legacy CX policy)","","2026-09-07","passed","2026-09-07","","org.eclipse.tractusx.edc.tests.catalog.CatalogTest","org.eclipse.tractusx.edc.tests.catalog.CatalogTest","requestCatalog_filteredByBpn_UsingLegacyCxPolicy_shouldReject"
"","81","Expect the Catalog request to fail if a credential has an invalid credential subject id","","2026-09-07","passed","2026-09-07","","org.eclipse.tractusx.edc.tests.transfer.StsConsumerPullTest","org.eclipse.tractusx.edc.tests.transfer.StsConsumerPullTest","catalogRequest_whenCredentialSubjectIdIsInvalid"
"","2336","Policy is accepted ""MembershipCredential""","","2026-09-07","passed","2026-09-07","","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest","shouldAcceptValidPolicyDefinitions"
"","6902","transferData_failing_withProxyOriginalResponse_withoutSourceResponseBody()","","2026-09-07","passed","2026-09-07","","org.eclipse.tractusx.edc.tests.transfer.TransferPullEndToEndTest.Dsp2025to2025","org.eclipse.tractusx.edc.tests.transfer.TransferPullEndToEndTest$Dsp2025to2025","transferData_failing_withProxyOriginalResponse_withoutSourceResponseBody"
"","40","discoveryShouldReturn2025DspParams_DidAsIdentifier()","","2026-09-07","passed","2026-09-07","","org.eclipse.tractusx.edc.discovery.e2e.ConnectorParameterDiscoveryTest","org.eclipse.tractusx.edc.discovery.e2e.ConnectorParameterDiscoveryTest","discoveryShouldReturn2025DspParams_DidAsIdentifier"
"","50","Policy is not accepted because definition is not correct ""Access Policy with prohibition rule""","","2026-09-07","passed","2026-09-07","","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest","shouldNotAcceptInvalidPolicyDefinitions"
"","7453","kafkaPullTransfer_withoutGroupPrefix_provisionsViaParticipantFallback()","","2026-09-07","passed","2026-09-07","","org.eclipse.tractusx.edc.tests.transfer.KafkaPullEndToEndTest","org.eclipse.tractusx.edc.tests.transfer.KafkaPullEndToEndTest","kafkaPullTransfer_withoutGroupPrefix_provisionsViaParticipantFallback"
"","278","Verify that the consumer receives only the offers he is permitted to (using the legacy BPN validation)","","2026-09-07","passed","2026-09-07","","org.eclipse.tractusx.edc.tests.catalog.CatalogTestDspV08","org.eclipse.tractusx.edc.tests.catalog.CatalogTestDspV08","requestCatalog_filteredByBpnLegacy_WithNamespace_shouldReject"
"","68","Policy is accepted ""Warranty Definition""","","2026-09-07","passed","2026-09-07","","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest","shouldAcceptValidPolicyDefinitions"
